Benchmark,S-Base,S-Opt,S-Rem,S-Red%,D-Base,D-Opt,D-Rem,D-Red%
correlation,235,69,166,71,8566062542,1512012525,7054050017,82
covariance,159,49,110,69,8551044544,1508006524,7043038020,82
2mm,226,69,157,69,37652310096,6450845735,31201464361,83
3mm,258,74,184,71,54841623638,9674169382,45167454256,82
atax,131,43,88,67,720140046,144020021,576120025,80
bicg,151,51,100,66,656144052,144024024,512120028,78
cholesky,128,37,91,71,2525339675,361063438,2164276237,86
doitgen,170,49,121,71,6256265900,1084277142,5171988758,83
gemm,162,53,109,67,19375616059,3226472479,16149143580,83
gemver,235,80,155,66,1136304088,240060043,896244045,79
gesummv,145,54,91,63,768144051,160032029,608112022,79
mvt,145,48,97,67,704164048,144028023,560136025,80
symm,172,55,117,68,15048164403,2685935644,12362228759,82
syr2k,169,52,117,69,34408001590,6447697948,27960303642,81
syrk,142,45,97,68,19368276016,3225423897,16142852119,83
trisolv,109,38,71,65,312118033,48028017,264090016,85
trmm,106,35,71,67,9680460825,1612186641,8068274184,83
durbin,205,67,138,67,608236014,96060018,512175996,84
dynprog,141,43,98,70,4838112889,871265071,3966847818,82
gramschmidt,232,58,174,75,2495493673,471075604,2024418069,81
lu,110,31,79,72,7171920917,1432182283,5739738634,80
ludcmp,234,65,169,72,5063881309,724764191,4339117118,86
floyd-warshall,102,31,71,70,25792878617,5371854860,20421023757,79
reg_detect,210,58,152,72,437120953,68540139,368580814,84
adi,296,73,223,75,7673453654,1574423621,6099030033,79
fdtd-2d,226,62,164,73,3421766550,702102425,2719664125,79
fdtd-apml,665,186,479,72,3845636063,825956170,3019679893,79
jacobi-1d-imper,91,34,57,63,26135830,6019016,20116814,77
jacobi-2d-imper,132,39,93,70,815089870,161401596,653688274,80
seidel-2d,117,36,81,69,887630404,200221793,687408611,77
