Benchmark,S-Base,S-Opt,S-Rem,S-Red%,D-Base,D-Opt,D-Rem,D-Red%
matrix_mult,11,9,2,18,96320001,64320001,32000000,33
array_sum,47,44,3,6,30408704,26214401,4194303,14
quicksort,29,16,13,45,65876069,39497248,26378821,40
binary_search,4,4,0,0,32737416,32737416,0,0
knapsack,10,9,1,10,6096132,5384690,711442,12
